guess,episodes,solve_rate,avg_steps_solved,median_steps,p90_steps,p95_steps,solved
slice,5000,0.997,3.652,4,5.0,5.0,4985
crate,5000,0.9966,3.591,4,5.0,5.0,4983
stole,5000,0.9964,3.617,4.0,5.0,5.0,4982
trace,5000,0.9962,3.568,4,5.0,5.0,4981
roast,5000,0.9956,3.619,4.0,5.0,5.0,4978
toast,5000,0.9956,3.785,4.0,5.0,5.0,4978
irate,5000,0.9952,3.623,4.0,5.0,5.0,4976
slate,5000,0.9944,3.554,4.0,4.0,5.0,4972
raise,5000,0.9944,3.673,4.0,5.0,5.0,4972
crane,5000,0.9938,3.638,4,5.0,5.0,4969
stare,5000,0.9932,3.594,4.0,5.0,5.0,4966
ocean,5000,0.9904,3.694,4.0,5.0,5.0,4952
